-105.7335,35.4618,07/23/2013,07/30/2013
-118.5338,44.5732,11/11/2015,11/30/2015
-107.2903,33.7096,09/29/2013,10/15/2013
-115.9391,48.6033,12/28/2015,01/12/2016
-118.7068,44.7484,11/01/2015,11/08/2015
-118.5338,44.3980,11/03/2015,11/10/2015
-119.2257,44.3980,09/29/2015,10/07/2015
-118.3608,44.2228,11/03/2015,11/10/2015
-119.2257,44.2228,12/17/2015,12/25/2015
-103.4848,44.2228,11/29/2015,12/06/2015
-109.8849,43.8723,11/29/2013,12/07/2013
-109.7120,44.5732,10/01/2015,10/08/2015
-109.3660,44.9237,10/18/2015,10/25/2015
-109.3660,43.6971,12/06/2013,12/16/2013
-103.6578,44.2228,10/24/2012,10/31/2012
-109.1930,33.5343,09/08/2015,09/22/2015
-120.4365,44.5732,12/27/2015,01/03/2016
-103.6578,44.0476,02/15/2016,02/22/2016
-121.4744,43.6971,11/01/2015,11/08/2015
-121.8203,43.5219,10/12/2015,10/19/2015
-121.6474,43.8723,10/31/2015,11/07/2015
-120.4365,44.2228,11/28/2015,12/06/2015
-121.3014,44.2228,01/10/2016,01/17/2016
-117.8419,45.9750,09/24/2015,10/03/2015
-110.9228,33.7096,11/03/2015,11/10/2015
-121.4744,44.2228,01/05/2016,01/13/2016
-119.0527,38.2653,12/24/2015,12/31/2015
-105.3875,39.6670,01/04/2016,01/11/2016
-121.6474,44.0476,11/10/2015,11/17/2015
-121.6474,44.2228,12/07/2014,12/16/2014
-121.6474,43.6971,11/07/2015,11/14/2015
-121.6474,45.0989,11/10/2015,11/18/2015
-79.6140,33.1839,10/06/2015,10/13/2015
-119.3987,44.3980,10/22/2014,01/25/2015
-119.5716,44.3980,09/12/2015,09/19/2015
-121.1284,44.0476,11/26/2015,12/03/2015
-79.6140,33.0087,10/14/2015,10/21/2015
-121.3014,44.7484,01/20/2016,01/27/2016
-119.9176,38.7909,11/13/2014,11/20/2014
-121.3014,43.8723,01/01/2016,01/08/2016
-111.2688,44.2228,12/11/2013,12/18/2013
-118.0148,35.8122,10/02/2014,10/09/2014
-121.6474,44.5732,11/01/2015,11/08/2015
-111.2688,44.3980,10/19/2013,10/26/2013
-121.4744,44.5732,09/10/2015,09/17/2015
-106.4254,36.3379,03/04/2013,03/13/2013
-104.1767,45.7998,12/06/2010,12/14/2010
-115.7661,48.7785,11/05/2015,11/28/2015
-114.9013,48.7785,11/05/2015,11/13/2015
-106.2524,45.4493,09/05/2015,09/13/2015
-120.9554,43.6971,10/25/2015,11/02/2015
-115.2472,48.6033,11/15/2014,11/23/2014
-115.4202,48.6033,11/06/2015,11/13/2015
-115.9391,48.7785,01/25/2016,02/01/2016
-114.7283,48.9537,11/14/2015,11/25/2015
-115.0742,48.4281,11/17/2015,11/27/2015
-115.9391,48.9537,10/21/2015,10/30/2015
-115.7661,48.9537,11/20/2015,11/28/2015
-115.4202,48.2528,11/06/2015,11/19/2015
-115.0742,48.6033,11/05/2015,11/17/2015
-115.9391,48.2528,11/17/2013,11/25/2013
-120.4365,44.3980,10/04/2015,10/11/2015
-121.4744,44.7484,01/22/2016,01/30/2016
-121.9933,43.6971,11/04/2015,11/12/2015
-118.1878,36.1626,10/23/2015,10/30/2015
-120.2635,44.5732,11/15/2015,11/22/2015
-120.9554,43.8723,10/25/2015,11/01/2015
-111.4417,35.6370,11/16/2015,11/23/2015
-120.7825,42.8210,10/28/2015,11/04/2015
-120.2635,44.3980,09/26/2015,10/04/2015
-121.1284,43.8723,12/22/2015,12/29/2015
-120.0906,44.5732,12/14/2014,12/22/2014
-111.0958,39.4918,05/12/2015,05/19/2015
-119.5716,44.5732,10/21/2014,11/02/2014
-102.9659,43.6971,11/06/2015,11/13/2015
-102.6199,44.0476,10/08/2015,10/15/2015
-92.2413,36.1626,06/16/2015,06/23/2015
-106.2524,39.3166,10/29/2015,11/05/2015
-92.5873,31.6069,01/07/2016,01/14/2016
-92.5873,31.4317,05/01/2015,05/08/2015
-111.6147,37.9148,09/22/2015,09/29/2015
-120.7825,42.2953,12/14/2015,12/21/2015
-119.0527,38.4405,10/21/2014,10/28/2014
-118.8797,44.2228,09/19/2015,09/26/2015
-113.3445,37.3892,12/03/2015,12/13/2015
-118.5338,44.7484,11/01/2015,11/09/2015
-118.5338,37.7396,12/13/2014,12/20/2014
