PostalCode,Town,Region,ShortCode,Area,Latitude,Longitude
1827,Perdido,Alabama,AL,Baldwin,31.0403,-87.6667
1830,Point Clear,Alabama,AL,Baldwin,30.4741,-87.9192
1831,Robertsdale,Alabama,AL,Baldwin,30.5616,-87.6373
1832,Seminole,Alabama,AL,Baldwin,30.5048,-87.4659
1833,Silverhill,Alabama,AL,Baldwin,30.5222,-87.7457
1834,Spanish Fort,Alabama,AL,Baldwin,30.6749,-87.9153
1835,Stapleton,Alabama,AL,Baldwin,30.7476,-87.7787
1840,Stockton,Alabama,AL,Baldwin,31.0129,-87.8633
1841,Summerdale,Alabama,AL,Baldwin,30.4752,-87.6992
1842,Clayton,Alabama,AL,Barbour,31.8874,-85.4509
1843,Clio,Alabama,AL,Barbour,31.6852,-85.5904
1844,Eufaula,Alabama,AL,Barbour,31.9051,-85.1656
1845,Louisville,Alabama,AL,Barbour,31.7943,-85.5581
1850,Eufaula,Alabama,AL,Barbour,31.8913,-85.1455
1851,Brent,Alabama,AL,Bibb,32.9357,-87.2114
1852,Brierfield,Alabama,AL,Bibb,33.0427,-86.9517
1853,Centreville,Alabama,AL,Bibb,32.9503,-87.1192
1854,Green Pond,Alabama,AL,Bibb,33.2251,-87.1264
1860,West Blocton,Alabama,AL,Bibb,33.1424,-87.1369
1862,Woodstock,Alabama,AL,Bibb,33.2068,-87.15
1863,Randolph,Alabama,AL,Bibb,32.8888,-86.907
1864,Lawley,Alabama,AL,Bibb,32.8646,-86.9567
1865,Allgood,Alabama,AL,Blount,33.9222,-86.4493
1866,Blountsville,Alabama,AL,Blount,34.0929,-86.5686
1867,Cleveland,Alabama,AL,Blount,33.9778,-86.5598
1876,Hayden,Alabama,AL,Blount,33.9534,-86.7455
1879,Locust Fork,Alabama,AL,Blount,33.905,-86.6261
1880,Oneonta,Alabama,AL,Blount,33.9259,-86.4741
1885,Remlap,Alabama,AL,Blount,33.8168,-86.6008
1886,Fitzpatrick,Alabama,AL,Bullock,32.2165,-85.8888
1887,Midway,Alabama,AL,Bullock,32.0955,-85.5315
1888,Perote,Alabama,AL,Bullock,32.0928,-85.7046
1889,Union Springs,Alabama,AL,Bullock,32.1443,-85.7149
1890,Chapman,Alabama,AL,Butler,31.6427,-86.7343
1899,Forest Home,Alabama,AL,Butler,31.8501,-86.8372
1901,Georgiana,Alabama,AL,Butler,31.6287,-86.734
1902,Greenville,Alabama,AL,Butler,31.81,-86.6229
1903,Mc Kenzie,Alabama,AL,Butler,31.545,-86.7356
1904,Anniston,Alabama,AL,Calhoun,33.6539,-85.8382
1905,Anniston,Alabama,AL,Calhoun,33.7622,-85.8378
